Date,Week,SKU,Brand,Price,ACV,Is_New_Product,Post_Launch,Sales_Volume
2023-01-02,1,SKU_A1,Brand_A,1.96,0.97,0,0,27730
2023-01-02,1,SKU_B1,Brand_B,1.77,0.96,0,0,34366
2023-01-02,1,SKU_B2,Brand_B,2.03,0.97,0,0,16430
2023-01-02,1,SKU_C1,Brand_C,2.21,0.84,0,0,7493
2023-01-09,2,SKU_A1,Brand_A,1.9,0.89,0,0,31618
2023-01-09,2,SKU_A2,Brand_A,2.54,0.81,0,0,5899
2023-01-09,2,SKU_B1,Brand_B,1.77,0.97,0,0,37740
2023-01-09,2,SKU_B2,Brand_B,2.36,0.95,0,0,8914
2023-01-09,2,SKU_C1,Brand_C,2.16,0.88,0,0,11689
2023-01-16,3,SKU_A1,Brand_A,1.87,0.84,0,0,33763
2023-01-16,3,SKU_A2,Brand_A,2.46,0.85,0,0,8408
2023-01-16,3,SKU_B1,Brand_B,2.0,0.86,0,0,21023
2023-01-16,3,SKU_B2,Brand_B,2.07,0.94,0,0,13360
2023-01-16,3,SKU_C1,Brand_C,1.96,0.98,0,0,18217
2023-01-23,4,SKU_A1,Brand_A,1.94,0.86,0,0,30388
2023-01-23,4,SKU_A2,Brand_A,2.59,0.91,0,0,6623
2023-01-23,4,SKU_B1,Brand_B,1.78,0.93,0,0,35618
2023-01-23,4,SKU_B2,Brand_B,2.29,0.9,0,0,9554
2023-01-30,5,SKU_A1,Brand_A,2.14,0.95,0,0,34210
2023-01-30,5,SKU_A2,Brand_A,2.62,0.83,0,0,8465
2023-01-30,5,SKU_B1,Brand_B,2.02,0.9,0,0,24301
2023-01-30,5,SKU_C1,Brand_C,2.21,0.95,0,0,15707
2023-02-06,6,SKU_A1,Brand_A,2.15,0.85,0,0,20371
2023-02-06,6,SKU_B1,Brand_B,1.76,0.85,0,0,49085
2023-02-06,6,SKU_B2,Brand_B,2.34,0.84,0,0,9513
2023-02-06,6,SKU_C1,Brand_C,2.26,0.84,0,0,8340
2023-02-13,7,SKU_A1,Brand_A,1.94,0.83,0,0,37936
2023-02-13,7,SKU_A2,Brand_A,2.57,0.8,0,0,7622
2023-02-13,7,SKU_B1,Brand_B,1.9,0.84,0,0,25811
2023-02-13,7,SKU_B2,Brand_B,2.27,0.87,0,0,14449
2023-02-13,7,SKU_C1,Brand_C,2.25,0.82,0,0,10451
2023-02-20,8,SKU_A1,Brand_A,2.13,0.91,0,0,26892
2023-02-20,8,SKU_B1,Brand_B,2.02,0.94,0,0,28220
2023-02-20,8,SKU_B2,Brand_B,2.25,0.82,0,0,13940
2023-02-20,8,SKU_C1,Brand_C,1.93,0.83,0,0,20970
2023-02-27,9,SKU_A1,Brand_A,2.05,0.9,0,0,32447
2023-02-27,9,SKU_A2,Brand_A,2.41,0.84,0,0,11268
2023-02-27,9,SKU_B1,Brand_B,2.04,0.87,0,0,25996
2023-02-27,9,SKU_B2,Brand_B,2.3,0.89,0,0,15353
2023-02-27,9,SKU_C1,Brand_C,2.13,0.89,0,0,18883
2023-03-06,10,SKU_A1,Brand_A,2.11,0.86,0,0,26113
2023-03-06,10,SKU_A2,Brand_A,2.37,0.9,0,0,15419
2023-03-06,10,SKU_B1,Brand_B,1.92,0.82,0,0,32559
2023-03-06,10,SKU_B2,Brand_B,2.24,0.98,0,0,17749
2023-03-06,10,SKU_C1,Brand_C,2.23,0.93,0,0,12865
2023-03-13,11,SKU_A1,Brand_A,2.1,0.92,0,0,33310
2023-03-13,11,SKU_A2,Brand_A,2.66,0.86,0,0,8081
2023-03-13,11,SKU_B1,Brand_B,1.86,0.82,0,0,28909
2023-03-13,11,SKU_B2,Brand_B,2.19,0.9,0,0,15841
2023-03-13,11,SKU_C1,Brand_C,2.03,0.91,0,0,18710
2023-03-20,12,SKU_A1,Brand_A,2.07,0.98,0,0,32799
2023-03-20,12,SKU_A2,Brand_A,2.51,0.86,0,0,7577
2023-03-20,12,SKU_B1,Brand_B,1.88,0.81,0,0,28602
2023-03-20,12,SKU_B2,Brand_B,2.03,0.97,0,0,21757
2023-03-20,12,SKU_C1,Brand_C,2.07,0.83,0,0,16368
2023-03-27,13,SKU_A1,Brand_A,1.95,0.94,0,0,39669
2023-03-27,13,SKU_A2,Brand_A,2.49,0.82,0,0,10157
2023-03-27,13,SKU_B1,Brand_B,1.9,0.89,0,0,27392
2023-03-27,13,SKU_B2,Brand_B,2.16,0.91,0,0,13356
2023-03-27,13,SKU_C1,Brand_C,2.15,0.81,0,0,16099
2023-04-03,14,SKU_A1,Brand_A,1.99,0.9,0,0,28089
2023-04-03,14,SKU_A2,Brand_A,2.68,0.87,0,0,7280
2023-04-03,14,SKU_B1,Brand_B,1.77,0.86,0,0,34681
2023-04-03,14,SKU_B2,Brand_B,2.32,0.8,0,0,9875
2023-04-03,14,SKU_C1,Brand_C,1.97,0.93,0,0,25700
2023-04-10,15,SKU_A1,Brand_A,1.95,0.97,0,0,32741
2023-04-10,15,SKU_A2,Brand_A,2.6,0.94,0,0,8552
2023-04-10,15,SKU_B1,Brand_B,1.78,0.96,0,0,41726
2023-04-10,15,SKU_B2,Brand_B,2.14,0.96,0,0,15264
2023-04-10,15,SKU_C1,Brand_C,2.06,0.8,0,0,14186
2023-04-17,16,SKU_A1,Brand_A,1.87,0.89,0,0,33712
2023-04-17,16,SKU_A2,Brand_A,2.32,0.9,0,0,13598
2023-04-17,16,SKU_B1,Brand_B,1.85,0.82,0,0,23867
2023-04-17,16,SKU_B2,Brand_B,2.07,0.94,0,0,14521
2023-04-24,17,SKU_A1,Brand_A,2.09,0.9,0,0,29890
2023-04-24,17,SKU_A2,Brand_A,2.34,0.89,0,0,12392
2023-04-24,17,SKU_B1,Brand_B,1.75,0.88,0,0,39498
2023-04-24,17,SKU_B2,Brand_B,2.29,0.91,0,0,10529
2023-05-01,18,SKU_A2,Brand_A,2.68,0.96,0,0,9944
2023-05-01,18,SKU_B1,Brand_B,1.83,0.83,0,0,27404
2023-05-01,18,SKU_B2,Brand_B,2.19,0.86,0,0,12739
2023-05-01,18,SKU_C1,Brand_C,2.26,0.98,0,0,13158
2023-05-08,19,SKU_A1,Brand_A,2.04,0.88,0,0,33226
2023-05-08,19,SKU_A2,Brand_A,2.69,0.83,0,0,5415
2023-05-08,19,SKU_B1,Brand_B,1.93,0.87,0,0,25188
2023-05-08,19,SKU_B2,Brand_B,2.17,0.85,0,0,16517
2023-05-08,19,SKU_C1,Brand_C,1.95,0.96,0,0,21978
2023-05-15,20,SKU_A2,Brand_A,2.51,0.94,0,0,10916
2023-05-15,20,SKU_B1,Brand_B,1.92,0.9,0,0,26106
2023-05-15,20,SKU_B2,Brand_B,2.33,0.87,0,0,11151
2023-05-15,20,SKU_C1,Brand_C,2.17,0.84,0,0,14740
2023-05-22,21,SKU_A1,Brand_A,1.97,0.91,0,0,25758
2023-05-22,21,SKU_A2,Brand_A,2.48,0.98,0,0,10706
2023-05-22,21,SKU_B1,Brand_B,1.9,0.86,0,0,22237
2023-05-22,21,SKU_B2,Brand_B,2.05,0.82,0,0,18913
2023-05-22,21,SKU_C1,Brand_C,1.98,0.83,0,0,19025
2023-05-29,22,SKU_A1,Brand_A,1.9,0.82,0,0,29893
2023-05-29,22,SKU_A2,Brand_A,2.35,0.88,0,0,11552
2023-05-29,22,SKU_B1,Brand_B,1.9,0.92,0,0,24025
2023-05-29,22,SKU_B2,Brand_B,2.04,0.94,0,0,18158
2023-05-29,22,SKU_C1,Brand_C,2.23,0.97,0,0,13373
2023-06-05,23,SKU_A1,Brand_A,1.99,0.93,0,0,31445
2023-06-05,23,SKU_A2,Brand_A,2.5,0.9,0,0,8725
2023-06-05,23,SKU_B1,Brand_B,1.78,0.88,0,0,24508
2023-06-05,23,SKU_B2,Brand_B,2.12,0.87,0,0,14290
2023-06-05,23,SKU_C1,Brand_C,1.94,0.86,0,0,16381
2023-06-12,24,SKU_A1,Brand_A,1.98,0.82,0,0,21228
2023-06-12,24,SKU_A2,Brand_A,2.41,0.87,0,0,10445
2023-06-12,24,SKU_B1,Brand_B,1.86,0.98,0,0,37645
2023-06-12,24,SKU_B2,Brand_B,2.24,0.84,0,0,9176
2023-06-12,24,SKU_C1,Brand_C,1.99,0.85,0,0,14530
2023-06-19,25,SKU_A1,Brand_A,1.89,0.92,0,0,35658
2023-06-19,25,SKU_A2,Brand_A,2.53,0.85,0,0,8329
2023-06-19,25,SKU_B1,Brand_B,1.98,0.83,0,0,17535
2023-06-19,25,SKU_B2,Brand_B,2.2,0.84,0,0,8828
2023-06-19,25,SKU_C1,Brand_C,1.97,0.91,0,0,19782
2023-06-26,26,SKU_A2,Brand_A,2.49,0.87,0,0,10446
2023-06-26,26,SKU_B2,Brand_B,2.07,0.93,0,0,19924
2023-06-26,26,SKU_C1,Brand_C,2.13,0.95,0,0,15646
2023-07-03,27,SKU_A1,Brand_A,1.97,0.95,0,0,27389
2023-07-03,27,SKU_A2,Brand_A,2.49,0.85,0,0,8370
2023-07-03,27,SKU_B1,Brand_B,1.98,0.89,0,0,27005
2023-07-03,27,SKU_C1,Brand_C,2.24,0.91,0,0,10084
2023-07-10,28,SKU_A1,Brand_A,1.85,0.9,0,0,33365
2023-07-10,28,SKU_A2,Brand_A,2.6,0.96,0,0,6422
2023-07-10,28,SKU_B1,Brand_B,1.78,0.95,0,0,23219
2023-07-10,28,SKU_B2,Brand_B,2.07,0.87,0,0,10826
2023-07-10,28,SKU_C1,Brand_C,2.01,0.93,0,0,13515
2023-07-17,29,SKU_A1,Brand_A,1.99,0.97,0,0,26838
2023-07-17,29,SKU_A2,Brand_A,2.5,0.91,0,0,6178
2023-07-17,29,SKU_B1,Brand_B,1.75,0.96,0,0,31012
2023-07-17,29,SKU_B2,Brand_B,2.27,0.97,0,0,10862
2023-07-17,29,SKU_C1,Brand_C,2.17,0.83,0,0,12517
2023-07-24,30,SKU_A1,Brand_A,2.03,0.87,0,0,26151
2023-07-24,30,SKU_A2,Brand_A,2.32,0.86,0,0,8383
2023-07-24,30,SKU_B2,Brand_B,2.15,0.86,0,0,10697
2023-07-24,30,SKU_C1,Brand_C,2.01,0.88,0,0,17505
2023-07-31,31,SKU_A1,Brand_A,1.87,0.98,0,0,38042
2023-07-31,31,SKU_A2,Brand_A,2.33,0.93,0,0,8050
2023-07-31,31,SKU_B2,Brand_B,2.04,0.88,0,0,10166
2023-07-31,31,SKU_C1,Brand_C,2.12,0.81,0,0,7601
2023-08-07,32,SKU_A1,Brand_A,1.85,0.83,0,0,30408
2023-08-07,32,SKU_A2,Brand_A,2.59,0.92,0,0,5646
2023-08-07,32,SKU_B2,Brand_B,2.31,0.83,0,0,5331
2023-08-14,33,SKU_A1,Brand_A,1.9,0.9,0,0,31725
2023-08-14,33,SKU_A2,Brand_A,2.63,0.86,0,0,4948
2023-08-14,33,SKU_B1,Brand_B,1.83,0.87,0,0,18128
2023-08-14,33,SKU_B2,Brand_B,2.24,0.87,0,0,9863
2023-08-14,33,SKU_C1,Brand_C,2.12,0.88,0,0,10767
2023-08-21,34,SKU_A1,Brand_A,2.04,0.85,0,0,17871
2023-08-21,34,SKU_A2,Brand_A,2.36,0.95,0,0,8658
2023-08-21,34,SKU_B1,Brand_B,1.8,0.85,0,0,22605
2023-08-21,34,SKU_B2,Brand_B,2.03,0.96,0,0,14533
2023-08-28,35,SKU_A1,Brand_A,1.9,0.96,0,0,22343
2023-08-28,35,SKU_A2,Brand_A,2.51,0.81,0,0,4984
2023-08-28,35,SKU_B1,Brand_B,1.8,0.93,0,0,26627
2023-08-28,35,SKU_B2,Brand_B,2.11,0.87,0,0,10509
2023-08-28,35,SKU_C1,Brand_C,2.03,0.86,0,0,10643
2023-09-04,36,SKU_A2,Brand_A,2.34,0.81,0,0,6899
